game_id,season,position,final_score,winner,dd_asked,dd_correct,correct_answers
5637,33,middle,2100.0,0,3.0,2.0,15
5637,33,returning_champion,15800.0,1,0.0,0.0,16
5637,33,right,8400.0,0,0.0,0.0,15
5635,33,middle,0.0,0,0.0,0.0,14
5635,33,right,1999.0,0,2.0,1.0,18
5635,33,returning_champion,13001.0,1,1.0,0.0,16
5634,33,returning_champion,21201.0,1,2.0,2.0,16
5634,33,middle,21200.0,0,0.0,0.0,15
5634,33,right,4399.0,0,1.0,0.0,16
5633,33,right,20401.0,1,2.0,1.0,24
5633,33,middle,2000.0,0,1.0,1.0,4
5633,33,returning_champion,18800.0,0,0.0,0.0,19
5631,33,returning_champion,18700.0,0,1.0,0.0,15
5631,33,right,25601.0,1,1.0,1.0,17
5631,33,middle,400.0,0,1.0,1.0,17
5630,33,returning_champion,14800.0,1,1.0,1.0,14
5630,33,right,3800.0,0,2.0,1.0,14
5630,33,middle,7199.0,0,0.0,0.0,18
5629,33,right,9001.0,0,0.0,0.0,15
5629,33,middle,2000.0,0,1.0,0.0,12
5629,33,returning_champion,24400.0,1,2.0,1.0,28
5628,33,returning_champion,19600.0,1,2.0,1.0,21
5628,33,right,14601.0,0,1.0,0.0,20
5628,33,middle,0.0,0,0.0,0.0,5
5627,33,returning_champion,28800.0,1,2.0,2.0,22
5627,33,middle,10200.0,0,0.0,0.0,20
5627,33,right,1.0,0,1.0,0.0,9
5626,33,middle,7800.0,0,1.0,1.0,18
5626,33,right,24000.0,1,2.0,2.0,27
5626,33,returning_champion,6800.0,0,0.0,0.0,7
5621,33,right,1999.0,0,2.0,2.0,19
5621,33,returning_champion,12000.0,1,1.0,1.0,16
5621,33,middle,3199.0,0,0.0,0.0,20
5618,33,returning_champion,3799.0,0,1.0,0.0,18
5618,33,middle,8200.0,1,1.0,1.0,16
5618,33,right,399.0,0,1.0,0.0,14
5616,33,right,1300.0,0,1.0,1.0,12
5616,33,middle,7601.0,1,0.0,0.0,19
5616,33,returning_champion,6199.0,0,2.0,2.0,20
5615,33,returning_champion,800.0,0,0.0,0.0,18
5615,33,middle,17601.0,1,1.0,1.0,14
5615,33,right,6799.0,0,2.0,2.0,14
5614,33,right,14800.0,0,0.0,0.0,15
5614,33,middle,15500.0,1,1.0,1.0,22
5614,33,returning_champion,8300.0,0,2.0,0.0,14
5611,33,returning_champion,14399.0,1,2.0,1.0,24
5611,33,middle,10799.0,0,0.0,0.0,11
5611,33,right,799.0,0,1.0,1.0,12
5609,33,middle,599.0,0,0.0,0.0,15
5609,33,right,1199.0,0,1.0,1.0,21
5609,33,returning_champion,1300.0,1,2.0,1.0,11
5608,33,returning_champion,8600.0,0,2.0,1.0,17
5608,33,right,22000.0,1,1.0,1.0,17
5608,33,middle,13600.0,0,0.0,0.0,15
5607,33,middle,6000.0,0,0.0,0.0,18
5607,33,right,17402.0,1,1.0,1.0,9
5607,33,returning_champion,11199.0,0,2.0,1.0,20
5606,33,returning_champion,14201.0,0,2.0,1.0,17
5606,33,middle,16200.0,1,0.0,0.0,24
5606,33,right,1.0,0,1.0,1.0,9
5602,33,middle,1.0,0,1.0,1.0,15
5602,33,right,2401.0,0,2.0,0.0,9
5602,33,returning_champion,21399.0,1,0.0,0.0,18
5600,33,returning_champion,2400.0,0,0.0,0.0,19
5600,33,right,14800.0,1,1.0,0.0,16
5600,33,middle,2700.0,0,2.0,0.0,11
5599,33,right,20398.0,0,0.0,0.0,23
5599,33,middle,21600.0,1,1.0,0.0,12
5599,33,returning_champion,1199.0,0,2.0,2.0,18
5598,33,middle,0.0,0,1.0,1.0,12
5598,33,returning_champion,21000.0,0,1.0,0.0,25
5598,33,right,23600.0,1,1.0,1.0,15
5595,33,right,2802.0,0,0.0,0.0,7
5595,33,middle,9601.0,0,2.0,1.0,18
5595,33,returning_champion,10200.0,1,1.0,0.0,20
5594,33,middle,29000.0,1,1.0,1.0,24
5594,33,returning_champion,0.0,0,1.0,0.0,14
5594,33,right,11200.0,0,1.0,1.0,9
5591,33,right,7200.0,0,2.0,1.0,14
5591,33,middle,4000.0,0,1.0,1.0,20
5591,33,returning_champion,23600.0,1,0.0,0.0,13
5590,33,returning_champion,22900.0,0,0.0,0.0,21
5590,33,middle,5399.0,0,0.0,0.0,9
5590,33,right,26800.0,1,3.0,3.0,21
5589,33,middle,13000.0,0,0.0,0.0,9
5589,33,returning_champion,18800.0,1,2.0,2.0,23
5589,33,right,18399.0,0,1.0,0.0,14
5583,33,returning_champion,11800.0,0,0.0,0.0,19
5583,33,right,13402.0,0,0.0,0.0,13
5583,33,middle,26801.0,1,3.0,3.0,19
5581,33,right,5.0,0,0.0,0.0,21
5581,33,returning_champion,17601.0,0,2.0,2.0,14
5581,33,middle,28400.0,1,1.0,1.0,22
